Abbreviation,Antibiotic Name,Antibiotic Name German,Full Name,Class,Mechanism_of_action,Source,Source_URL,WHO_Match,Match_Type,WHO_Class,WHO_ATC_code,Category,Listed_on_EML_2019,Broad Class
GHL,Gentamicin 500 (high level),GHL - Gentamicin 500 (high level),GHL - Gentamicin 500 (high level),Aminoglycoside,High-dose ribosomal binding,Specialized Hospital Protocols,https://www.ncbi.nlm.nih.gov/books/NBK430906/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Aminoglycoside
IMP,Imipenem,IMP - Imipenem,IMP - Imipenem,Carbapenem (β-lactam),Cell wall synthesis inhibition,EUCAST Technical Notes,https://www.eucast.org/fileadmin/src/media/PDFs/EUCAST_files/Guidance_documents/Expert_Rules_Technical_Notes_2020.pdf,Imipenem/cilastatin,PERFECT,Carbapenems,J01DH51,Watch,Yes (therapeutic alternative to meropenem),β-lactam
LEV,Levofloxacin,LEV - Levofloxacin,LEV - Levofloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,WHO AWaRe Classification,https://www.who.int/groups/expert-committee-on-selection-and-use-of-essential-medicines/aware-classification,Levofloxacin,PERFECT,Fluoroquinolones,J01MA12,Watch,No,Fluoroquinolone
LIZ,Linezolid,LIZ - Linezolid,LIZ - Linezolid,Oxazolidinone,Binds to 50S ribosomal subunit,Antibiotic Resistance Studies,https://www.ncbi.nlm.nih.gov/books/NBK539714/,Linezolid,PERFECT,Oxazolidinones,J01XX08,Reserve,Yes,Oxazolidinone
MER,Meropenem,MER - Meropenem,MER - Meropenem,Carbapenem (β-lactam),Cell wall synthesis inhibition,IDSA Guidelines,https://www.idsociety.org/practice-guideline/guidelines-by-topic/,Meropenem,PERFECT,Carbapenems,J01DH02,Watch,Yes,β-lactam
MOX,Moxifloxacin,MOX - Moxifloxacin,MOX - Moxifloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Clinical Trials Data,https://clinicaltrials.gov/ct2/show/NCT03426709,Moxifloxacin,PERFECT,Fluoroquinolones,J01MA14,Watch,No,Fluoroquinolone
MUP,Mupirocin,MUP - Mupirocin,MUP - Mupirocin,Pseudomonic acid,Inhibits isoleucyl-tRNA synthetase,Dermatology References,https://www.ncbi.nlm.nih.gov/books/NBK557406/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Pseudomonic acid
NFT,Nitrofurantoin,NFT - Nitrofurantoin,NFT - Nitrofurantoin,Nitrofuran,DNA damage via reactive intermediates,Urinary Tract Infection Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK470195/,Nitrofurantoin,PERFECT,Nitrofuran-derivatives,J01XE01,Access,Yes,Nitrofuran
OXA,Oxacillin,OXA - Oxacillin,OXA - Oxacillin,Penicillin (β-lactam),Cell wall synthesis inhibition,Antibiotic Stewardship Review,https://academic.oup.com/cid/article/63/5/e61/2632539,Oxacillin,PERFECT,Penicillins ,J01CF04,Access,Yes (therapeutic alternative to cloxacillin),β-lactam
PEN,Penicillin,PEN - Penicillin,PEN - Penicillin,Penicillin (β-lactam),Inhibits cell wall synthesis,Historical Antibiotic Guides,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5122768/,Pheneticillin,FUZZY(0.87),Penicillins ,J01CE05,Watch,No,β-lactam
PIP,Piperacillin,PIP - Piperacillin,PIP - Piperacillin,Penicillin (β-lactam),Cell wall synthesis inhibition,Pharmacy Compendium,https://go.drugbank.com/drugs/DB00321,Piperacillin,PERFECT,Penicillins ,J01CA12,Watch,No,β-lactam
PIT,Piperacillin/Tazobactam,PIT - Piperacillin/Tazobactam,PIT - Piperacillin/Tazobactam,β-lactam/β-lactamase inhibitor,β-lactamase inhibition + cell wall synthesis,Hospital Protocols,https://www.ashp.org/-/media/assets/pharmacy-practice/resource-centers/guidelines/sample-adult-empiric-antimicrobial-guide.ashx,Piperacillin/tazobactam,PERFECT,Beta-lactam/beta-lactamase-inhibitor_anti-pseudomonal,J01CR05,Watch,Yes,β-lactam
RAM,Rifampicin,RAM - Rifampicin,RAM - Rifampicin,Rifamycin,Inhibits DNA-dependent RNA polymerase,Tuberculosis Treatment Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Rifampicin,PERFECT,Rifamycins,J04AB02,Watch,No,Rifamycin
SHL,Streptomycin 1000 (high level),SHL - Streptomycin 1000 (high level),SHL - Streptomycin 1000 (high level),Aminoglycoside,High-dose ribosomal binding,Specialized Protocols,https://www.ncbi.nlm.nih.gov/books/NBK430906/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Aminoglycoside
STR,Streptomycin,STR - Streptomycin,STR - Streptomycin,Aminoglycoside,Binds to 30S ribosomal subunit,Historical Pharmacology,https://www.ncbi.nlm.nih.gov/books/NBK430906/,Streptomycin_oral,PERFECT,Aminoglycosides,A07AA04,Watch,No,Aminoglycoside
SXT,Co-Trimoxazol,SXT - Co-Trimoxazol,SXT - Co-Trimoxazol,Sulfonamide/Trimethoprim combo,Sequential folate pathway inhibition,WHO Essential Medicines,https://www.who.int/groups/expert-committee-on-selection-and-use-of-essential-medicines/essential-medicines-lists,Sulfamethoxazole/trimethoprim,PERFECT,Sulfonamide-trimethoprim-combinations,J01EE01,Access,Yes,Sulfonamide/Trimethoprim combo
TET,Tetracyclin,TET - Tetracyclin,TET - Tetracyclin,Tetracycline,Binds to 30S ribosomal subunit,Antibiotic Classification Guides,https://www.ncbi.nlm.nih.gov/books/NBK549905/,Tetracycline,FUZZY(0.96),Tetracyclines,J01AA07,Access,No,Tetracycline
TGC,Tigecyclin,TGC - Tigecyclin,TGC - Tigecyclin,Glycylcycline,Binds to 30S ribosomal subunit (broader spectrum),IDSA Recommendations,https://www.idsociety.org/practice-guideline/guidelines-by-topic/,Tigecycline,FUZZY(0.95),Glycylcyclines,J01AA12,Reserve,No,Glycylcycline
TOB,Tobramycin,TOB - Tobramycin,TOB - Tobramycin,Aminoglycoside,Binds to 30S ribosomal subunit,Clinical Microbiology Handbook,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Tobramycin,PERFECT,Aminoglycosides,J01GB01,Watch,No,Aminoglycoside
TPL,Teicoplanin,TPL - Teicoplanin,TPL - Teicoplanin,Glycopeptide,Inhibits cell wall synthesis (binds peptidoglycan),ESCMID Guidelines,https://www.escmid.org/research_projects/guidelines/,Teicoplanin,PERFECT,Glycopeptides,J01XA02,Watch,No,Glycopeptide
VAN,Vancomycin,VAN - Vancomycin,VAN - Vancomycin,Glycopeptide,Inhibits cell wall synthesis (binds D-Ala-D-Ala),CLSI Standards,https://clsi.org/standards/products/microbiology/documents/m100/,Vancomycin,PERFECT,Glycopeptides,A07AA09,Watch,Yes,Glycopeptide
NAL,Nalidixic acid,NAL - Nalidixinsäure,NAL - Nalidixic acid,Quinolone,Inhibits DNA gyrase,Historical Antibiotic Data,https://www.ncbi.nlm.nih.gov/books/NBK555886/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Quinolone
SLD,Sulfadiazin,SLD - Sulfadiazin,SLD - Sulfadiazin,Sulfonamide,Inhibits dihydropteroate synthase,Antimicrobial Agents Textbook,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Sulfadiazine ,FUZZY(0.96),Sulfonamides,J01EC02,Access,No,Sulfonamide
TRP,Trimethoprim,TRP - Trimethoprim,TRP - Trimethoprim,Dihydrofolate reductase inhibitor,Blocks folate synthesis,WHO AWaRe Classification,https://www.who.int/groups/expert-committee-on-selection-and-use-of-essential-medicines/aware-classification,Trimethoprim,PERFECT,Trimethoprim-derivatives,J01EA01,Access,Yes,Dihydrofolate reductase inhibitor
APH,Amphotericin B,APH - Amphotericin B,APH - Amphotericin B,Polyene,Binds ergosterol (fungal membrane disruption),Antifungal Drug Database,https://www.ncbi.nlm.nih.gov/books/NBK556136/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Polyene
AZL,Azlocillin,AZL - Azlocillin,AZL - Azlocillin,Penicillin (β-lactam),Cell wall synthesis inhibition,Antibiotic Resistance Atlas,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Azlocillin,PERFECT,Penicillins ,J01CA09,Watch,No,β-lactam
AZM,Azithromycin,AZM - Azithromycin,AZM - Azithromycin,Macrolide,Binds to 50S ribosomal subunit,Clinical Pharmacology References,https://www.ncbi.nlm.nih.gov/books/NBK554560/,Azithromycin,PERFECT,Macrolides,J01FA10,Watch,Yes,Macrolide
BTC,Bacitracin,BTC - Bacitracin,BTC - Bacitracin,Polypeptide,Inhibits cell wall dephosphorylation,Topical Antibiotic Guides,https://www.ncbi.nlm.nih.gov/books/NBK555886/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Polypeptide
CAR,Carbenicillin,CAR - Carbenicillin,CAR - Carbenicillin,Penicillin (β-lactam),Cell wall synthesis inhibition,Historical Data,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Carbenicillin,PERFECT,Penicillins,J01CA03,Watch,No,β-lactam
CAS,Caspofungin,CAS - Caspofungin,CAS - Caspofungin,Echinocandin,Inhibits β-(1,3)-D-glucan synthase (fungal cell wall),Antifungal Guidelines,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Echinocandin
CEC,Cefaclor,CEC - Cefaclor,CEC - Cefaclor,Second-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Pharmaceutical Directories,https://go.drugbank.com/drugs/DB01140,Cefaclor,PERFECT,Second-generation-cephalosporins,J01DC04,Watch,No,β-lactam
CEX,Cefalexin,CEX - Cefalexin,CEX - Cefalexin,First-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Clinical Pharmacy Resources,https://www.ncbi.nlm.nih.gov/books/NBK551507/,Cefalexin,PERFECT,First-generation-cephalosporins,J01DB01,Access,Yes,β-lactam
CFA,Cefuroxim-Axetil,CFA - Cefuroxim-Axetil,CFA - Cefuroxim-Axetil,Second-gen cephalosporin (β-lactam),Prodrug of cefuroxim,Pharmacokinetic Studies,https://go.drugbank.com/drugs/DB01140,Cefuroxime,FUZZY(0.80),Second-generation-cephalosporins,J01DC02,Watch,Yes,β-lactam
CFI,Cefixim,CFI - Cefixim,CFI - Cefixim,Third-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Antibiotic Stewardship Data,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Cefixime,PERFECT,Third-generation-cephalosporins,J01DD08,Watch,Yes,β-lactam
CFL,Ceftiofur,CFL - Ceftiofur,CFL - Ceftiofur,Third-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Veterinary Medicine References,https://www.ncbi.nlm.nih.gov/books/NBK555886/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,β-lactam
CFR,Cefadroxil,CFR - Cefadroxil,CFR - Cefadroxil,First-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Hospital Formulary,https://www.ncbi.nlm.nih.gov/books/NBK551507/,Cefadroxil,PERFECT,First-generation-cephalosporins,J01DB05,Access,No,β-lactam
CIB,Ceftibuten,CIB - Ceftibuten,CIB - Ceftibuten,Third-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Clinical Microbiology Reviews,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Ceftibuten,PERFECT,Third-generation-cephalosporins,J01DD14,Watch,No,β-lactam
CLN,Clinafloxacin,CLN - Clinafloxacin,CLN - Clinafloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Antimicrobial Agents Journal,https://aac.asm.org/content/63/4/e02087-18,Cinoxacin,FUZZY(0.82),Quinolones,J01MB06,Watch,No,Fluoroquinolone
CLR,Clarithromycin,CLR - Clarithromycin,CLR - Clarithromycin,Macrolide,Binds to 50S ribosomal subunit,Respiratory Infection Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK554560/,Clarithromycin,PERFECT,Macrolides,J01FA09,Watch,Yes,Macrolide
COX,Cefoxitin,COX - Cefoxitin,COX - Cefoxitin,Second-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Anaerobic Bacteria Protocols,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Cefoxitin,PERFECT,Second-generation-cephalosporins,J01DC01,Watch,No,β-lactam
CPO,Cefpodoxim,CPO - Cefpodoxim,CPO - Cefpodoxim,Third-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Pharmacy Resources,https://go.drugbank.com/drugs/DB01413,Cefpodoxime-proxetil,PERFECT,Third-generation-cephalosporins,J01DD13,Watch,No,β-lactam
CPP,Cefpodoxim-Proxetil,CPP - Cefpodoxim-Proxetil,CPP - Cefpodoxim-Proxetil,Third-gen cephalosporin (β-lactam),Prodrug of cefpodoxim,Pharmacokinetic Data,https://go.drugbank.com/drugs/DB01413,Cefpodoxime-proxetil,FUZZY(0.97),Third-generation-cephalosporins,J01DD13,Watch,No,β-lactam
CTN,Cefalotin,CTN - Cefalotin,CTN - Cefalotin,First-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Historical References,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Cefalotin,PERFECT,First-generation-cephalosporins,J01DB03,Access,No,β-lactam
CTR,Clotrimazol,CTR - Clotrimazol,CTR - Clotrimazol,Azole,Inhibits ergosterol synthesis (fungal),Antifungal Drug Database,https://www.ncbi.nlm.nih.gov/books/NBK556136/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Azole
CTT,Cefotetan,CTT - Cefotetan,CTT - Cefotetan,Second-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Surgical Prophylaxis Studies,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Cefotetan,PERFECT,Second-generation-cephalosporins,J01DC05,Watch,No,β-lactam
FCA,Fluconazol,FCA - Fluconazol,FCA - Fluconazol,Azole,Inhibits ergosterol synthesis (fungal),Antifungal Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK556136/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Azole
ITR,Itraconazol,ITR - Itraconazol,ITR - Itraconazol,Azole,Inhibits ergosterol synthesis (fungal),Antifungal Drug Database,https://www.ncbi.nlm.nih.gov/books/NBK556136/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Azole
KAN,Kanamycin,KAN - Kanamycin,KAN - Kanamycin,Aminoglycoside,Binds to 30S ribosomal subunit,Historical Pharmacology,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Kanamycin_oral,PERFECT,Aminoglycosides,A07AA08,Watch,No,Aminoglycoside
LIN,Lincomycin,LIN - Lincomycin,LIN - Lincomycin,Lincosamide,Binds to 50S ribosomal subunit,Antibiotic Stewardship Review,https://www.cdc.gov/antibiotic-use/core-elements/index.html,Lincomycin,PERFECT,Lincosamides,J01FF02,Watch,No,Lincosamide
LOM,Lomefloxacin,LOM - Lomefloxacin,LOM - Lomefloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Clinical Trials Data,https://clinicaltrials.gov/ct2/show/NCT03426709,Lomefloxacin,PERFECT,Fluoroquinolones,J01MA07,Watch,No,Fluoroquinolone
MNO,Minocyclin,MNO - Minocyclin,MNO - Minocyclin,Tetracycline,Binds to 30S ribosomal subunit,Dermatology References,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Minocycline_oral,FUZZY(0.95),Tetracyclines,J01AA08,Watch ,No,Tetracycline
MOL,Moxalactam,MOL - Moxalactam,MOL - Moxalactam,Oxacephem (β-lactam),Cell wall synthesis inhibition,Historical Antibiotic Data,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Latamoxef,PERFECT,Third-generation-cephalosporins,J01DD06,Watch,No,β-lactam
MTR,Metronidazol,MTR - Metronidazol,MTR - Metronidazol,Nitroimidazole,Generates toxic metabolites in anaerobic cells,Anaerobic Infection Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Metronidazole_oral,FUZZY(0.96),Imidazoles,P01AB01,Access,Yes,Nitroimidazole
MZL,Mezlocillin,MZL - Mezlocillin,MZL - Mezlocillin,Penicillin (β-lactam),Cell wall synthesis inhibition,Antibiotic Resistance Studies,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Mezlocillin,PERFECT,Penicillins ,J01CA10,Watch,No,β-lactam
NEO,Neomycin,NEO - Neomycin,NEO - Neomycin,Aminoglycoside,Binds to 30S ribosomal subunit,Topical Antibiotic Guides,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Neomycin_oral,PERFECT,Aminoglycosides,A07AA01,Watch,No,Aminoglycoside
NET,Netilmicin,NET - Netilmicin,NET - Netilmicin,Aminoglycoside,Binds to 30S ribosomal subunit,Clinical Microbiology Handbook,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Netilmicin,PERFECT,Aminoglycosides,J01GB07,Watch,No,Aminoglycoside
NIT,Nitroxolin,NIT - Nitroxolin,NIT - Nitroxolin,Quinolone derivative,DNA synthesis inhibition,Urinary Antiseptic Data,https://www.ncbi.nlm.nih.gov/books/NBK555886/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Quinolone derivative
NOR,Norfloxacin,NOR - Norfloxacin,NOR - Norfloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,WHO AWaRe Classification,https://www.who.int/groups/expert-committee-on-selection-and-use-of-essential-medicines/aware-classification,Norfloxacin,PERFECT,Fluoroquinolones,J01MA06,Watch,No,Fluoroquinolone
NOV,Novobiocin,NOV - Novobiocin,NOV - Novobiocin,Other Class,Inhibits DNA gyrase ATPase (exact class unclear),Historical Antibiotic Data,https://www.ncbi.nlm.nih.gov/books/NBK555886/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Other Class
OFX,Ofloxacin,OFX - Ofloxacin,OFX - Ofloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Clinical Pharmacology,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Ofloxacin,PERFECT,Fluoroquinolones,J01MA01,Watch,No,Fluoroquinolone
PIM,Pipemidic acid,PIM - Pipemidsäure,PIM - Pipemidic acid,Quinolone,Inhibits DNA gyrase,Historical References,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Pipemidic Acid,PERFECT,Quinolones,J01MB04,Watch,No,Quinolone
PIS,Piperacillin/Sulbactam,PIS - Piperacillin+Sulbactam,PIS - Piperacillin/Sulbactam,β-lactam/β-lactamase inhibitor,β-lactamase inhibition + cell wall synthesis,Hospital Protocols,https://www.ashp.org/-/media/assets/pharmacy-practice/resource-centers/guidelines/sample-adult-empiric-antimicrobial-guide.ashx,Ampicillin/sulbactam,FUZZY(0.85),Beta-lactam/beta-lactamase-inhibitor,J01CR01,Access,No,β-lactam
POL,Polymyxin,POL - Polymyxin,POL - Polymyxin,Polymyxin,Disrupts bacterial membrane,ESCMID Guidelines,https://www.escmid.org/research_projects/guidelines/,Polymyxin-B_oral,PERFECT,Polymyxins,A07AA05,Reserve,No,Polymyxin
PRI,Pristinamycin,PRI - Pristinamycin,PRI - Pristinamycin,Streptogramin,Binds to 50S ribosomal subunit (protein synthesis),Antibiotic Resistance Studies,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Pristinamycin,PERFECT,Streptogramins,J01FG01,Watch,No,Streptogramin
QPD,Quinupristin/Dalfopristin,QPD - Quinupristin/Dalfopristin,QPD - Quinupristin/Dalfopristin,Streptogramin combo,Binds to 50S ribosomal subunit,IDSA Recommendations,https://www.idsociety.org/practice-guideline/guidelines-by-topic/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Streptogramin combo
RIB,Rifabutin,RIB - Rifabutin,RIB - Rifabutin,Rifamycin,Inhibits DNA-dependent RNA polymerase,Tuberculosis Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Rifabutin,PERFECT,Rifamycins,J04AB04,Watch,No,Rifamycin
