genus,material,metric,tau,gamma,total_communities,cluster_id,cluster_size,antibiotic,label_broad,label_fine,label_who
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,CPO - Cefpodoxim_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,12,1,CPP - Cefpodoxim-Proxetil_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,CRO - Ceftriaxon_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,CTX - Cefotaxim_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,CXM - Cefuroxim_Tested,β-lactam,Second-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,6,6,CZA - Ceftazidim/Avibactam_Tested,,,
Escherichia,Blood Culture,dice,0.4,0.5,22,6,6,DOX - Doxycyclin_Tested,Tetracycline,Tetracycline,Access
Escherichia,Blood Culture,dice,0.4,0.5,22,13,1,DPT - Daptomycin_Tested,Lipopeptide,Lipopeptide,Reserve
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,ERT - Ertapenem_Tested,β-lactam,Carbapenem (β-lactam),Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,15,5,ERY - Erythromycin_Tested,Macrolide,Macrolide,Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,18,1,FLU - Flucloxacillin_Tested,β-lactam,Penicillin (β-lactam),Access
Escherichia,Blood Culture,dice,0.4,0.5,22,0,1,FUS - Fusidic acid_Tested,Steroid antibiotic,Steroid antibiotic,Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,GEN - Gentamicin_Tested,Aminoglycoside,Aminoglycoside,Access
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,IMP - Imipenem_Tested,β-lactam,Carbapenem (β-lactam),Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,LEV - Levofloxacin_Tested,Fluoroquinolone,Fluoroquinolone,Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,2,1,LIZ - Linezolid_Tested,Oxazolidinone,Oxazolidinone,Reserve
Escherichia,Blood Culture,dice,0.4,0.5,22,6,6,MCL - Mecillinam_Tested,β-lactam,Penicillin (β-lactam),Access
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,MER - Meropenem_Tested,β-lactam,Carbapenem (β-lactam),Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,MOX - Moxifloxacin_Tested,Fluoroquinolone,Fluoroquinolone,Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,4,1,MTR - Metronidazol_Tested,,Nitroimidazole,Access
Escherichia,Blood Culture,dice,0.4,0.5,22,9,2,MZL - Mezlocillin_Tested,β-lactam,Penicillin (β-lactam),Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,21,2,NFT - Nitrofurantoin_Tested,Nitrofuran,Nitrofuran,Access
Escherichia,Blood Culture,dice,0.4,0.5,22,6,6,NOR - Norfloxacin_Tested,Fluoroquinolone,Fluoroquinolone,Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,9,2,OFX - Ofloxacin_Tested,Fluoroquinolone,Fluoroquinolone,Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,15,5,OXA - Oxacillin_Tested,β-lactam,Penicillin (β-lactam),Access
Escherichia,Blood Culture,dice,0.4,0.5,22,15,5,PEN - Penicillin_Tested,β-lactam,Penicillin (β-lactam),Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,PIP - Piperacillin_Tested,β-lactam,Penicillin (β-lactam),Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,PIT - Piperacillin/Tazobactam_Tested,β-lactam,β-lactam/β-lactamase inhibitor,Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,17,2,RAM - Rifampicin_Tested,Rifamycin,Rifamycin,Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,5,2,ROX - Roxithromycin_Tested,Macrolide,Macrolide,Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,SXT - Co-Trimoxazol_Tested,,Sulfonamide/Trimethoprim combo,Access
Escherichia,Blood Culture,dice,0.4,0.5,22,11,1,TET - Tetracyclin_Tested,Tetracycline,Tetracycline,Access
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,TGC - Tigecyclin_Tested,Glycylcycline,Glycylcycline,Reserve
Escherichia,Blood Culture,dice,0.4,0.5,22,1,2,TOB - Tobramycin_Tested,Aminoglycoside,Aminoglycoside,Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,15,5,TPL - Teicoplanin_Tested,Glycopeptide,Glycopeptide,Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,6,6,TRP - Trimethoprim_Tested,Dihydrofolate reductase inhibitor,Dihydrofolate reductase inhibitor,Access
Escherichia,Blood Culture,dice,0.4,0.5,22,16,1,VAN - Vancomycin_Tested,Glycopeptide,Glycopeptide,Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,0,5,AMC - Amoxicillin/clavulanic acid_Tested,β-lactam,β-lactam/β-lactamase inhibitor,Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,0,5,AMK - Amikacin_Tested,Aminoglycoside,Aminoglycoside,Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,2,16,AMP - Ampicillin_Tested,β-lactam,Penicillin (β-lactam),Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,2,16,AMS - Ampicillin/Sulbactam_Tested,β-lactam,β-lactam/β-lactamase inhibitor,Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,0,5,AMX - Amoxicillin_Tested,β-lactam,Penicillin (β-lactam),Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,3,1,AZM - Azithromycin_Tested,Macrolide,Macrolide,Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,4,2,AZT - Aztreonam_Tested,β-lactam,Monobactam (β-lactam),Reserve
Escherichia,Blood Culture,jaccard,0.4,1.0,27,2,16,CAZ - Ceftazidim_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,5,1,CEC - Cefaclor_Tested,β-lactam,Second-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,0,5,CEP - Cefepim_Tested,β-lactam,Fourth-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,6,1,CEX - Cefalexin_Tested,β-lactam,First-gen cephalosporin (β-lactam),Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,7,1,CEZ - Cefazolin_Tested,β-lactam,First-gen cephalosporin (β-lactam),Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,8,1,CFA - Cefuroxim-Axetil_Tested,β-lactam,Second-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,9,1,CFI - Cefixim_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,10,1,CFR - Cefadroxil_Tested,β-lactam,First-gen cephalosporin (β-lactam),Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,2,16,CIP - Ciprofloxacin_Tested,Fluoroquinolone,Fluoroquinolone,Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,11,5,CLI - Clindamycin_Tested,Lincosamide,Lincosamide,Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,12,2,CLR - Clarithromycin_Tested,Macrolide,Macrolide,Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,13,2,CMP - Chloramphenicol_Tested,Amphenicol,Amphenicol,Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,13,2,COL - Colistin_Tested,Polymyxin,Polymyxin,Reserve
Escherichia,Blood Culture,jaccard,0.4,1.0,27,14,1,COX - Cefoxitin_Tested,β-lactam,Second-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,15,2,CPO - Cefpodoxim_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,16,1,CPP - Cefpodoxim-Proxetil_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,2,16,CRO - Ceftriaxon_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,2,16,CTX - Cefotaxim_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,2,16,CXM - Cefuroxim_Tested,β-lactam,Second-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,4,2,CZA - Ceftazidim/Avibactam_Tested,,,
Escherichia,Blood Culture,jaccard,0.4,1.0,27,17,5,DOX - Doxycyclin_Tested,Tetracycline,Tetracycline,Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,18,1,DPT - Daptomycin_Tested,Lipopeptide,Lipopeptide,Reserve
Escherichia,Blood Culture,jaccard,0.4,1.0,27,2,16,ERT - Ertapenem_Tested,β-lactam,Carbapenem (β-lactam),Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,11,5,ERY - Erythromycin_Tested,Macrolide,Macrolide,Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,19,1,FLU - Flucloxacillin_Tested,β-lactam,Penicillin (β-lactam),Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,20,1,FUS - Fusidic acid_Tested,Steroid antibiotic,Steroid antibiotic,Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,2,16,GEN - Gentamicin_Tested,Aminoglycoside,Aminoglycoside,Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,2,16,IMP - Imipenem_Tested,β-lactam,Carbapenem (β-lactam),Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,2,16,LEV - Levofloxacin_Tested,Fluoroquinolone,Fluoroquinolone,Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,21,1,LIZ - Linezolid_Tested,Oxazolidinone,Oxazolidinone,Reserve
Escherichia,Blood Culture,jaccard,0.4,1.0,27,17,5,MCL - Mecillinam_Tested,β-lactam,Penicillin (β-lactam),Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,2,16,MER - Meropenem_Tested,β-lactam,Carbapenem (β-lactam),Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,15,2,MOX - Moxifloxacin_Tested,Fluoroquinolone,Fluoroquinolone,Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,22,1,MTR - Metronidazol_Tested,,Nitroimidazole,Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,23,1,MZL - Mezlocillin_Tested,β-lactam,Penicillin (β-lactam),Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,17,5,NFT - Nitrofurantoin_Tested,Nitrofuran,Nitrofuran,Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,17,5,NOR - Norfloxacin_Tested,Fluoroquinolone,Fluoroquinolone,Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,24,1,OFX - Ofloxacin_Tested,Fluoroquinolone,Fluoroquinolone,Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,11,5,OXA - Oxacillin_Tested,β-lactam,Penicillin (β-lactam),Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,11,5,PEN - Penicillin_Tested,β-lactam,Penicillin (β-lactam),Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,2,16,PIP - Piperacillin_Tested,β-lactam,Penicillin (β-lactam),Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,2,16,PIT - Piperacillin/Tazobactam_Tested,β-lactam,β-lactam/β-lactamase inhibitor,Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,12,2,RAM - Rifampicin_Tested,Rifamycin,Rifamycin,Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,25,1,ROX - Roxithromycin_Tested,Macrolide,Macrolide,Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,2,16,SXT - Co-Trimoxazol_Tested,,Sulfonamide/Trimethoprim combo,Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,26,1,TET - Tetracyclin_Tested,Tetracycline,Tetracycline,Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,2,16,TGC - Tigecyclin_Tested,Glycylcycline,Glycylcycline,Reserve
Escherichia,Blood Culture,jaccard,0.4,1.0,27,0,5,TOB - Tobramycin_Tested,Aminoglycoside,Aminoglycoside,Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,11,5,TPL - Teicoplanin_Tested,Glycopeptide,Glycopeptide,Watch
Escherichia,Blood Culture,jaccard,0.4,1.0,27,17,5,TRP - Trimethoprim_Tested,Dihydrofolate reductase inhibitor,Dihydrofolate reductase inhibitor,Access
Escherichia,Blood Culture,jaccard,0.4,1.0,27,1,1,VAN - Vancomycin_Tested,Glycopeptide,Glycopeptide,Watch
Escherichia,Blood Culture,phi,0.4,0.5,36,4,2,AMC - Amoxicillin/clavulanic acid_Tested,β-lactam,β-lactam/β-lactamase inhibitor,Access
Escherichia,Blood Culture,phi,0.4,0.5,36,1,3,AMK - Amikacin_Tested,Aminoglycoside,Aminoglycoside,Access
Escherichia,Blood Culture,phi,0.4,0.5,36,2,1,AMP - Ampicillin_Tested,β-lactam,Penicillin (β-lactam),Access
Escherichia,Blood Culture,phi,0.4,0.5,36,3,1,AMS - Ampicillin/Sulbactam_Tested,β-lactam,β-lactam/β-lactamase inhibitor,Access
Escherichia,Blood Culture,phi,0.4,0.5,36,4,2,AMX - Amoxicillin_Tested,β-lactam,Penicillin (β-lactam),Access
Escherichia,Blood Culture,phi,0.4,0.5,36,5,2,AZM - Azithromycin_Tested,Macrolide,Macrolide,Watch
Escherichia,Blood Culture,phi,0.4,0.5,36,6,7,AZT - Aztreonam_Tested,β-lactam,Monobactam (β-lactam),Reserve
Escherichia,Blood Culture,phi,0.4,0.5,36,7,1,CAZ - Ceftazidim_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,phi,0.4,0.5,36,8,2,CEC - Cefaclor_Tested,β-lactam,Second-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,phi,0.4,0.5,36,1,3,CEP - Cefepim_Tested,β-lactam,Fourth-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,phi,0.4,0.5,36,10,1,CEX - Cefalexin_Tested,β-lactam,First-gen cephalosporin (β-lactam),Access
Escherichia,Blood Culture,phi,0.4,0.5,36,8,2,CEZ - Cefazolin_Tested,β-lactam,First-gen cephalosporin (β-lactam),Access
Escherichia,Blood Culture,phi,0.4,0.5,36,12,1,CFA - Cefuroxim-Axetil_Tested,β-lactam,Second-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,phi,0.4,0.5,36,11,2,CFI - Cefixim_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,phi,0.4,0.5,36,14,1,CFR - Cefadroxil_Tested,β-lactam,First-gen cephalosporin (β-lactam),Access
Escherichia,Blood Culture,phi,0.4,0.5,36,15,1,CIP - Ciprofloxacin_Tested,Fluoroquinolone,Fluoroquinolone,Watch
Escherichia,Blood Culture,phi,0.4,0.5,36,16,6,CLI - Clindamycin_Tested,Lincosamide,Lincosamide,Access
Escherichia,Blood Culture,phi,0.4,0.5,36,17,2,CLR - Clarithromycin_Tested,Macrolide,Macrolide,Watch
Escherichia,Blood Culture,phi,0.4,0.5,36,19,2,CMP - Chloramphenicol_Tested,Amphenicol,Amphenicol,Access
Escherichia,Blood Culture,phi,0.4,0.5,36,19,2,COL - Colistin_Tested,Polymyxin,Polymyxin,Reserve
Escherichia,Blood Culture,phi,0.4,0.5,36,20,1,COX - Cefoxitin_Tested,β-lactam,Second-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,phi,0.4,0.5,36,21,1,CPO - Cefpodoxim_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,phi,0.4,0.5,36,22,1,CPP - Cefpodoxim-Proxetil_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,phi,0.4,0.5,36,23,1,CRO - Ceftriaxon_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
